titles1,title2,title
Avatar,Avatar,Avatar
Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World`s End,Pirates of the Caribbean: At World`s End
Spectre,Spectre,Spectre
The Dark Knight Rises,The Dark Knight Rises,The Dark Knight Rises
John Carter,John Carter,John Carter
Spider-Man 3,Spider-Man 3,Spider-Man 3
Tangled,Tangled,Tangled
Avengers: Age of Ultron,Avengers: Age of Ultron,Avengers: Age of Ultron
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince
Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice
Superman Returns,Superman Returns,Superman Returns
Quantum of Solace,Quantum of Solace,Quantum of Solace
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man`s Chest,Pirates of the Caribbean: Dead Man`s Chest
The Lone Ranger,The Lone Ranger,The Lone Ranger
Man of Steel,Man of Steel,Man of Steel
The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian
The Avengers,The Avengers,The Avengers
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides
Men in Black 3,Men in Black 3,Men in Black 3
The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies
The Amazing Spider-Man,The Amazing Spider-Man,The Amazing Spider-Man
Robin Hood,Robin Hood,Robin Hood
The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug
The Golden Compass,The Golden Compass,The Golden Compass
King Kong,King Kong,King Kong
Titanic,Titanic,Titanic
Captain America: Civil War,Captain America: Civil War,Captain America: Civil War
Battleship,Battleship,Battleship
Jurassic World,Jurassic World,Jurassic World
Skyfall,Skyfall,Skyfall
Spider-Man 2,Spider-Man 2,Spider-Man 2
Iron Man 3,Iron Man 3,Iron Man 3
Alice in Wonderland,Alice in Wonderland,Alice in Wonderland
X-Men: The Last Stand,X-Men: The Last Stand,X-Men: The Last Stand
Monsters University,Monsters University,Monsters University
Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen
Transformers: Age of Extinction,Transformers: Age of Extinction,Transformers: Age of Extinction
Oz: The Great and Powerful,Oz: The Great and Powerful,Oz: The Great and Powerful
The Amazing Spider-Man 2,The Amazing Spider-Man 2,The Amazing Spider-Man 2
TRON: Legacy,TRON: Legacy,TRON: Legacy
Cars 2,Cars 2,Cars 2
Green Lantern,Green Lantern,Green Lantern
Toy Story 3,Toy Story 3,Toy Story 3
Terminator Salvation,Terminator Salvation,Terminator Salvation
Furious 7,Furious 7,Furious 7
World War Z,World War Z,World War Z
X-Men: Days of Future Past,X-Men: Days of Future Past,X-Men: Days of Future Past
Star Trek Into Darkness,Star Trek Into Darkness,Star Trek Into Darkness
Jack the Giant Slayer,Jack the Giant Slayer,Jack the Giant Slayer
The Great Gatsby,The Great Gatsby,The Great Gatsby
Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time
Pacific Rim,Pacific Rim,Pacific Rim
Transformers: Dark of the Moon,Transformers: Dark of the Moon,Transformers: Dark of the Moon
Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull
The Good Dinosaur,The Good Dinosaur,The Good Dinosaur
Brave,Brave,Brave
Star Trek Beyond,Star Trek Beyond,Star Trek Beyond
WALL·E,WALL·E,WALL·E
Rush Hour 3,Rush Hour 3,Rush Hour 3
2012,2012,2012
A Christmas Carol,A Christmas Carol,A Christmas Carol
Jupiter Ascending,Jupiter Ascending,Jupiter Ascending
The Legend of Tarzan,The Legend of Tarzan,The Legend of Tarzan
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
X-Men: Apocalypse,X-Men: Apocalypse,X-Men: Apocalypse
The Dark Knight,The Dark Knight,The Dark Knight
Up,Up,Up
Monsters vs Aliens,Monsters vs Aliens,Monsters vs Aliens
Iron Man,Iron Man,Iron Man
Hugo,Hugo,Hugo
Wild Wild West,Wild Wild West,Wild Wild West
The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor
Suicide Squad,Suicide Squad,Suicide Squad
Evan Almighty,Evan Almighty,Evan Almighty
Edge of Tomorrow,Edge of Tomorrow,Edge of Tomorrow
Waterworld,Waterworld,Waterworld
G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise of Cobra
Inside Out,Inside Out,Inside Out
The Jungle Book,The Jungle Book,The Jungle Book
Iron Man 2,Iron Man 2,Iron Man 2
Snow White and the Huntsman,Snow White and the Huntsman,Snow White and the Huntsman
Maleficent,Maleficent,Maleficent
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes
The Lovers,The Lovers,The Lovers
47 Ronin,47 Ronin,47 Ronin
Captain America: The Winter Soldier,Captain America: The Winter Soldier,Captain America: The Winter Soldier
Shrek Forever After,Shrek Forever After,Shrek Forever After
Tomorrowland,Tomorrowland,Tomorrowland
Big Hero 6,Big Hero 6,Big Hero 6
Wreck-It Ralph,Wreck-It Ralph,Wreck-It Ralph
The Polar Express,The Polar Express,The Polar Express
Independence Day: Resurgence,Independence Day: Resurgence,Independence Day: Resurgence
How to Train Your Dragon,How to Train Your Dragon,How to Train Your Dragon
Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines
Guardians of the Galaxy,Guardians of the Galaxy,Guardians of the Galaxy
Interstellar,Interstellar,Interstellar
Inception,Inception,Inception
Shin Godzilla,Shin Godzilla,Shin Godzilla
The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey
The Fast and the Furious,The Fast and the Furious,The Fast and the Furious
The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button
X-Men: First Class,X-Men: First Class,X-Men: First Class
The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2
The Sorcerer's Apprentice,The Sorcerer`s Apprentice,The Sorcerer`s Apprentice
Poseidon,Poseidon,Poseidon
Alice Through the Looking Glass,Alice Through the Looking Glass,Alice Through the Looking Glass
Shrek the Third,Shrek the Third,Shrek the Third
Warcraft,Warcraft,Warcraft
Terminator Genisys,Terminator Genisys,Terminator Genisys
The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader
Pearl Harbor,Pearl Harbor,Pearl Harbor
Transformers,Transformers,Transformers
Alexander,Alexander,Alexander
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix
Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire
Hancock,Hancock,Hancock
I Am Legend,I Am Legend,I Am Legend
Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory
Ratatouille,Ratatouille,Ratatouille
Batman Begins,Batman Begins,Batman Begins
Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa
Night at the Museum: Battle of the Smithsonian,Night at the Museum: Battle of the Smithsonian,Night at the Museum: Battle of the Smithsonian
X-Men Origins: Wolverine,X-Men Origins: Wolverine,X-Men Origins: Wolverine
The Matrix Revolutions,The Matrix Revolutions,The Matrix Revolutions
Frozen,Frozen,Frozen
The Matrix Reloaded,The Matrix Reloaded,The Matrix Reloaded
Thor: The Dark World,Thor: The Dark World,Thor: The Dark World
Mad Max: Fury Road,Mad Max: Fury Road,Mad Max: Fury Road
Angels & Demons,Angels & Demons,Angels (and) Demons
Thor,Thor,Thor
Bolt,Bolt,Bolt
G-Force,G-Force,G-Force
Wrath of the Titans,Wrath of the Titans,Wrath of the Titans
Dark Shadows,Dark Shadows,Dark Shadows
Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation
The Wolfman,The Wolfman,The Wolfman
Bee Movie,Bee Movie,Bee Movie
Kung Fu Panda 2,Kung Fu Panda 2,Kung Fu Panda 2
The Last Airbender,The Last Airbender,The Last Airbender
Mission: Impossible III,Mission: Impossible III,Mission: Impossible III
White House Down,White House Down,White House Down
Mars Needs Moms,Mars Needs Moms,Mars Needs Moms
Flushed Away,Flushed Away,Flushed Away
Pan,Pan,Pan
Mr. Peabody & Sherman,Mr. Peabody & Sherman,Mr. Peabody (and) Sherman
Troy,Troy,Troy
Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe`s Most Wanted,Madagascar 3: Europe`s Most Wanted
Die Another Day,Die Another Day,Die Another Day
Ghostbusters,Ghostbusters,Ghostbusters
Armageddon,Armageddon,Armageddon
Men in Black II,Men in Black II,Men in Black II
Beowulf,Beowulf,Beowulf
Kung Fu Panda 3,Kung Fu Panda 3,Kung Fu Panda 3
Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol
Rise of the Guardians,Rise of the Guardians,Rise of the Guardians
Fun with Dick and Jane,Fun with Dick and Jane,Fun with Dick and Jane
The Last Samurai,The Last Samurai,The Last Samurai
Exodus: Gods and Kings,Exodus: Gods and Kings,Exodus: Gods and Kings
Star Trek,Star Trek,Star Trek
Spider-Man,Spider-Man,Spider-Man
How to Train Your Dragon 2,How to Train Your Dragon 2,How to Train Your Dragon 2
Gods of Egypt,Gods of Egypt,Gods of Egypt
Stealth,Stealth,Stealth
Watchmen,Watchmen,Watchmen
Lethal Weapon 4,Lethal Weapon 4,Lethal Weapon 4
Hulk,Hulk,Hulk
G.I. Joe: Retaliation,G.I. Joe: Retaliation,G.I. Joe: Retaliation
Sahara,Sahara,Sahara
Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within
Captain America: The First Avenger,Captain America: The First Avenger,Captain America: The First Avenger
The World Is Not Enough,The World Is Not Enough,The World Is Not Enough
Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World
The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2
Happy Feet Two,Happy Feet Two,Happy Feet Two
The Incredible Hulk,The Incredible Hulk,The Incredible Hulk
The BFG,The BFG,The BFG
The Revenant,The Revenant,The Revenant
Turbo,Turbo,Turbo
Rango,Rango,Rango
Penguins of Madagascar,Penguins of Madagascar,Penguins of Madagascar
The Bourne Ultimatum,The Bourne Ultimatum,The Bourne Ultimatum
Kung Fu Panda,Kung Fu Panda,Kung Fu Panda
Ant-Man,Ant-Man,Ant-Man
The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire
Home,Home,Home
War of the Worlds,War of the Worlds,War of the Worlds
Bad Boys II,Bad Boys II,Bad Boys II
Puss in Boots,Puss in Boots,Puss in Boots
Salt,Salt,Salt
Noah,Noah,Noah
The Adventures of Tintin,The Adventures of Tintin,The Adventures of Tintin
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban
Australia,Australia,Australia
