,movie_id,title,tags
0,19995,Avatar,century paraplegic marine dispatched moon pandora unique mission becomes torn following orders protecting alien civilization action adventure fantasy sciencefiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d jamescameron
1,285,Pirates of the Caribbean: At World's End,captain barbossa long believed dead come back life headed edge earth turner elizabeth swann nothing quite seems adventure fantasy action ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger goreverbinski
2,206647,Spectre,cryptic message bond past sends trail uncover sinister organization battles political forces keep secret service alive bond peels back layers deceit reveal terrible truth behind spectre action adventure crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom sammendes
3,49026,The Dark Knight Rises,following death district attorney harvey dent batman assumes responsibility dent crimes protect late attorney reputation subsequently hunted gotham city police department eight years later batman encounters mysterious selina kyle villainous bane new terrorist leader overwhelms gotham finest dark knight resurfaces protect city branded enemy action crime drama thriller dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman christophernolan
4,49529,John Carter,john carter war weary former military captain inexplicably transported mysterious exotic planet barsoom mars reluctantly becomes embroiled epic conflict world brink collapse carter rediscovers humanity realizes survival barsoom people rests hands action adventure sciencefiction basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d andrewstanton
5,559,Spider-Man 3,seemingly invincible spider man goes new crop villain including shape shifting sandman spider man superpowers altered alien organism alter ego peter parker deals nemesis eddie brock also gets caught love triangle fantasy action adventure dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge samraimi
6,38757,Tangled,kingdom wanted charming bandit flynn rider hides mysterious tower taken hostage rapunzel beautiful feisty tower bound teen feet magical golden hair flynn curious captor looking ticket tower locked away years strikes deal handsome thief unlikely duo sets action packed escapade complete super cop horse protective chameleon gruff gang pub thugs animation family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick byronhoward nathangreno
7,99861,Avengers: Age of Ultron,tony stark tries jumpstart dormant peacekeeping program things awry earth mightiest heroes put ultimate test fate planet hangs balance villainous ultron emerges avengers stop enacting terrible plans soon uneasy alliances unexpected action pave way epic unique global adventure action adventure sciencefiction marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d josswhedon
8,767,Harry Potter and the Half-Blood Prince,harry begins sixth year hogwarts discovers old book marked property half blood prince begins learn lord voldemort dark past adventure fantasy family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf davidyates
9,209112,Batman v Superman: Dawn of Justice,fearing actions god like super hero left unchecked gotham city formidable forceful vigilante takes metropolis revered modern day savior world wrestles sort hero really needs batman superman war one another new threat quickly arises putting mankind greater danger ever known action adventure fantasy dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse zacksnyder
10,1452,Superman Returns,superman returns discover year absence allowed lex luthor walk free closest felt abandoned moved luthor plots ultimate revenge could see millions killed change face planet forever well ridding man steel adventure fantasy action sciencefiction savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor bryansinger
11,10764,Quantum of Solace,quantum solace continues adventures james bond casino royale betrayed vesper woman loved fights urge make latest mission personal pursuing determination uncover truth bond interrogate white reveals organization blackmailed vesper far complex dangerous anyone imagined adventure action thriller crime killing undercover secretagent britishsecretservice killing undercover secretagent britishsecretservice marcforster
